web-scraper-order,web-scraper-start-url,year_,winner,winner-href
"(1986)","Tarjan, Robert (Bob) Endre","https://amturing.acm.org/award_winners/tarjan_1092048.cfm"
"(1976)","Scott, Dana Stewart","https://amturing.acm.org/award_winners/scott_1193622.cfm"
"(2016)","Berners-Lee, Tim","https://amturing.acm.org/award_winners/berners-lee_8087960.cfm"
"(1966)","Perlis, Alan J *","https://amturing.acm.org/award_winners/perlis_0132439.cfm"
"(2018)","Bengio, Yoshua","https://amturing.acm.org/award_winners/bengio_3406375.cfm"
"(2007)","Sifakis, Joseph","https://amturing.acm.org/award_winners/sifakis_1701095.cfm"
"(2001)","Dahl, Ole-Johan *","https://amturing.acm.org/award_winners/dahl_6917600.cfm"
"(2003)","Kay, Alan","https://amturing.acm.org/award_winners/kay_3972189.cfm"
"(2012)","Micali, Silvio","https://amturing.acm.org/award_winners/micali_9954407.cfm"
"(1995)","Blum, Manuel","https://amturing.acm.org/award_winners/blum_4659082.cfm"
"(1968)","Hamming, Richard W*","https://amturing.acm.org/award_winners/hamming_1000652.cfm"
"(1992)","Lampson, Butler W","https://amturing.acm.org/award_winners/lampson_1142421.cfm"
"(2017)","Patterson, David","https://amturing.acm.org/award_winners/patterson_2316693.cfm"
"(1994)","Feigenbaum, Edward A (""Ed"")","https://amturing.acm.org/award_winners/feigenbaum_4167235.cfm"
"(1993)","Hartmanis, Juris","https://amturing.acm.org/award_winners/hartmanis_1059260.cfm"
